Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial
0,0,0,2.81930012515,0,0,.,151
1,1,1,1.25,0,1,100,152
0,0,0,2.59315239239,0,0,.,153
1,2,3,1.25,0,3,003,154
0,0,0,2.51379395285,0,0,.,155
2,3,1,1.25,2,2,212,156
0,0,0,2.29911187375,0,0,.,157
2,0,3,1.25,1,1,311,158
0,0,0,2.57129565882,0,0,.,159
1,1,2,1.25,0,2,020,160
0,0,0,2.80304811747,0,0,.,161
1,2,3,1.25,0,3,003,162
0,0,0,2.02680036424,0,0,.,163
2,3,1,1.25,3,3,331,164
0,0,0,2.73374323074,0,0,.,165
2,0,2,1.25,3,1,233,166
0,0,0,2.21175214995,0,0,.,167
1,1,2,1.25,0,2,020,168
0,0,0,2.92017343042,0,0,.,169
1,2,1,1.25,0,1,100,170
0,0,0,2.61157075967,0,0,.,171
2,3,2,1.25,1,3,112,172
0,0,0,2.72551817905,0,0,.,173
2,0,2,1.25,3,3,332,174
0,0,0,2.3663067686,0,0,.,175
1,1,1,1.25,0,1,100,176
0,0,0,2.32255076714,0,0,.,177
2,3,1,1.25,2,2,212,178
0,0,0,2.3459667663,0,0,.,179
1,1,2,1.25,0,2,020,180
0,0,0,2.54674584387,0,0,.,181
1,2,1,1.25,0,1,100,182
0,0,0,2.73053276276,0,0,.,183
2,3,1,1.25,3,2,313,184
0,0,0,2.76347237375,0,0,.,185
1,1,3,1.25,0,3,003,186
0,0,0,2.61369079522,0,0,.,187
2,3,2,1.25,1,3,112,188
0,0,0,2.0355787436,0,0,.,189
1,1,1,1.25,0,1,100,190
0,0,0,2.02691182718,0,0,.,191
2,3,2,1.25,1,1,211,192
0,0,0,2.60294429306,0,0,.,193
1,2,2,1.25,0,2,020,194
0,0,0,2.40108371527,0,0,.,195
2,3,2,1.25,3,3,332,196
0,0,0,2.95985379693,0,0,.,197
1,1,3,1.25,0,3,003,198
0,0,0,2.01519285419,0,0,.,199
2,3,1,1.25,3,3,331,200
0,0,0,2.8817252844,0,0,.,201
2,0,2,1.25,1,3,112,202
0,0,0,2.11632031619,0,0,.,203
1,1,1,1.25,0,1,100,204
0,0,0,2.86204489892,0,0,.,205
2,3,3,1.25,2,2,232,206
0,0,0,2.79977376453,0,0,.,207
2,0,1,1.25,2,2,221,208
0,0,0,2.31915411412,0,0,.,209
1,1,2,1.25,0,2,020,210
0,0,0,2.48729927485,0,0,.,211
2,3,2,1.25,3,1,233,212
0,0,0,2.6965700879,0,0,.,213
2,0,3,1.25,1,1,311,214
0,0,0,2.44795460662,0,0,.,215
1,1,1,1.25,0,1,100,216
0,0,0,2.96015700459,0,0,.,217
1,2,1,1.25,0,1,100,218
0,0,0,2.97623043152,0,0,.,219
2,3,3,1.25,1,2,131,220
0,0,0,2.22406184223,0,0,.,221
1,1,1,1.25,0,1,100,222
0,0,0,2.00996493969,0,0,.,223
1,2,3,1.25,0,3,003,224
0,0,0,2.77556466548,0,0,.,225
2,3,1,1.25,3,2,313,226
0,0,0,2.30842864616,0,0,.,227
1,1,3,1.25,0,3,003,228
0,0,0,2.26194503451,0,0,.,229
2,3,1,1.25,3,2,313,230
0,0,0,2.21503409387,0,0,.,231
1,1,3,1.25,0,3,003,232
0,0,0,2.77429942017,0,0,.,233
2,3,3,1.25,2,2,232,234
0,0,0,2.35751883937,0,0,.,235
2,0,1,1.25,2,2,221,236
0,0,0,2.37291962808,0,0,.,237
1,1,2,1.25,0,2,020,238
0,0,0,2.36098739607,0,0,.,239
1,2,3,1.25,0,3,003,240
0,0,0,2.28544205771,0,0,.,241
2,3,2,1.25,3,1,233,242
0,0,0,2.14408836783,0,0,.,243
1,1,1,1.25,0,1,100,244
0,0,0,2.53817924181,0,0,.,245
1,2,1,1.25,0,1,100,246
0,0,0,2.95737163191,0,0,.,247
2,3,3,1.25,1,2,131,248
0,0,0,2.65838651904,0,0,.,249
2,0,2,1.25,1,1,211,250
0,0,0,2.24660578421,0,0,.,251
1,1,1,1.25,0,1,100,252
0,0,0,2.7809631265,0,0,.,253
2,3,2,1.25,1,3,112,254
0,0,0,2.38181309195,0,0,.,255
2,0,3,1.25,2,1,322,256
0,0,0,2.0719922762,0,0,.,257
1,1,2,1.25,0,2,020,258
0,0,0,2.37802629561,0,0,.,259
1,2,2,1.25,0,2,020,260
0,0,0,2.57497540155,0,0,.,261
2,3,1,1.25,3,3,331,262
0,0,0,2.40133121203,0,0,.,263
2,0,2,1.25,1,1,211,264
0,0,0,2.48008392841,0,0,.,265
1,1,1,1.25,0,1,100,266
0,0,0,2.3351960154,0,0,.,267
2,3,3,1.25,1,1,311,268
0,0,0,2.32529899166,0,0,.,269
1,1,3,1.25,0,3,003,270
0,0,0,2.21214728604,0,0,.,271
2,3,2,1.25,3,3,332,272
0,0,0,2.2697908327,0,0,.,273
1,1,3,1.25,0,3,003,274
0,0,0,2.66334615153,0,0,.,275
2,3,3,1.25,2,1,322,276
0,0,0,2.28789561057,0,0,.,277
2,0,1,1.25,2,2,212,278
0,0,0,2.43990225863,0,0,.,279
1,1,2,1.25,0,2,020,280
0,0,0,2.59803905887,0,0,.,281
1,2,2,1.25,0,2,020,282
0,0,0,2.37737805461,0,0,.,283
2,3,1,1.25,2,2,212,284
0,0,0,2.56710418455,0,0,.,285
1,1,2,1.25,0,2,020,286
0,0,0,2.33653235311,0,0,.,287
1,2,3,1.25,0,3,003,288
0,0,0,2.24544827464,0,0,.,289
1,1,3,1.25,0,3,003,290
0,0,0,2.95733564679,0,0,.,291
1,2,3,1.25,0,3,003,292
0,0,0,2.2669283181,0,0,.,293
2,3,2,1.25,1,1,211,294
0,0,0,2.60548155046,0,0,.,295
1,1,2,1.25,0,2,020,296
0,0,0,2.22144963296,0,0,.,297
1,2,3,1.25,0,3,003,298
0,0,0,2.42507887798,0,0,.,299
2,3,1,1.25,2,2,212,300
0,0,0,2.48441080311,0,0,.,301
1,1,2,1.25,0,2,020,302
0,0,0,2.73225735052,0,0,.,303
2,3,2,1.25,1,1,211,304
0,0,0,2.31489599511,0,0,.,305
1,1,3,1.25,0,3,003,306
0,0,0,2.87021579051,0,0,.,307
2,3,2,1.25,1,3,112,308
0,0,0,2.12519535989,0,0,.,309
2,0,2,1.25,3,1,233,310
0,0,0,2.73419175174,0,0,.,311
1,1,3,1.25,0,3,003,312
0,0,0,2.28721596037,0,0,.,313
2,3,3,1.25,1,1,311,314
0,0,0,2.48613389132,0,0,.,315
1,1,2,1.25,0,2,020,316
0,0,0,2.52614558211,0,0,.,317
1,2,2,1.25,0,2,020,318
0,0,0,2.91796047924,0,0,.,319
2,3,1,1.25,2,2,221,320
0,0,0,2.71502048069,0,0,.,321
1,1,2,1.25,0,2,020,322
0,0,0,2.5523152765,0,0,.,323
1,2,2,1.25,0,2,020,324
0,0,0,2.76178506319,0,0,.,325
2,3,1,1.25,3,2,313,326
0,0,0,2.53824442417,0,0,.,327
1,1,2,1.25,0,2,020,328
0,0,0,2.86626193742,0,0,.,329
1,2,1,1.25,0,1,100,330
0,0,0,2.19662292287,0,0,.,331
2,3,1,1.25,3,2,313,332
0,0,0,2.15011914776,0,0,.,333
2,0,3,1.25,2,2,232,334
0,0,0,2.72264537793,0,0,.,335
1,1,3,1.25,0,3,003,336
0,0,0,2.17512331642,0,0,.,337
2,3,1,1.25,2,2,212,338
0,0,0,2.17040731604,0,0,.,339
1,1,1,1.25,0,1,100,340
0,0,0,2.7152612899,0,0,.,341
2,3,3,1.25,2,1,322,342
0,0,0,2.0202497756,0,0,.,343
2,0,2,1.25,1,3,112,344
0,0,0,2.6925292566,0,0,.,345
1,1,3,1.25,0,3,003,346
0,0,0,2.03173600468,0,0,.,347
2,3,1,1.25,2,2,221,348
0,0,0,2.00384516834,0,0,.,349
2,0,3,1.25,1,2,131,350
0,0,0,2.32488164264,0,0,.,351
1,1,1,1.25,0,1,100,352
0,0,0,2.87257465269,0,0,.,353
2,3,3,1.25,1,2,131,354
0,0,0,2.28561481172,0,0,.,355
2,0,3,1.25,2,2,232,356
0,0,0,2.92983074859,0,0,.,357
1,1,1,1.25,0,1,100,358
0,0,0,2.0735151554,0,0,.,359
1,2,1,1.25,0,1,100,360
0,0,0,2.90728692619,0,0,.,361
2,3,2,1.25,3,1,233,362
0,0,0,2.54135693224,0,0,.,363
2,0,2,1.25,3,3,332,364
0,0,0,2.97896400623,0,0,.,365
1,1,1,1.25,0,1,100,366
0,0,0,2.89090499497,0,0,.,367
1,2,1,1.25,0,1,100,368
0,0,0,2.39005649095,0,0,.,369
2,3,3,1.25,1,1,311,370
0,0,0,2.44424149028,0,0,.,371
2,0,1,1.25,3,3,331,372
0,0,0,2.85001248524,0,0,.,373
1,1,2,1.25,0,2,020,374
0,0,0,2.08540056747,0,0,.,375
1,2,3,1.25,0,3,003,376
0,0,0,2.40006062185,0,0,.,377
2,3,1,1.25,3,3,331,378
0,0,0,2.70209431649,0,0,.,379
2,0,2,1.25,3,3,332,380
0,0,0,2.75592377107,0,0,.,381
1,1,1,1.25,0,1,100,382
0,0,0,2.52113344325,0,0,.,383
2,3,3,1.25,2,1,322,384
